,Kod TERC,Kod TERC (GUS),Kod TERC-woj (GUS),Województwo,Kod TERC-pow (GUS),Powiat,Kod TERC-gmi,Kod TERC-gmi-rodz,Gmina,Kod TERC-gmi (GUS),Kod TERC-gmi-rodz (GUS),Gmina (GUS),Kod SIMC,Kod SIMC podstawowa,Rodzaj miejscowości,Miejscowość,Kod SIMC (GUS),Kod SIMC podstawowa (GUS),Rodzaj miejscowości (GUS),Miejscowość (GUS),Kod ULIC (GUS),Ulica (cecha),Ulica (nazwa),Numeracja nieparzysta (od),Numeracja nieparzysta (do),Numeracja parzysta (od),Numeracja parzysta (do),Kod pocztowy (PNA)
37960,1261011,1261049,12,MAŁOPOLSKIE,61,Kraków,1,1,Kraków,4,9,Kraków-Podgórze,950463,950463,96,Kraków,950960,950960,98,Kraków-Podgórze,5142.0,ul.,Fosa,1,-1,2,-1,30-381
256722,601072,601072,6,LUBELSKIE,1,bialski,7,2,Konstantynów,7,2,Konstantynów,14456,14456,1,Konstantynów,14456,14456,1,Konstantynów,12947.0,ul.,Miła,1,-1,2,-1,21-543
351464,1806012,1806012,18,PODKARPACKIE,6,kolbuszowski,1,2,Cmolas,1,2,Cmolas,646950,646860,0,Zagrody Pierwsze,646950,646860,0,Zagrody Pierwsze,,,,1,-1,2,-1,36-105
247830,2477011,2477011,24,ŚLĄSKIE,77,Tychy,1,1,Tychy,1,1,Tychy,944534,944534,96,Tychy,944534,944534,96,Tychy,31619.0,rondo,Polonia,1,-1,2,-1,43-100
348521,1802022,1802022,18,PODKARPACKIE,2,brzozowski,2,2,Domaradz,2,2,Domaradz,348849,348708,0,Podlas,348849,348708,0,Podlas,,,,1,-1,2,-1,36-231
155893,812015,812015,8,LUBUSKIE,12,wschowski,1,5,Sława,1,5,Sława,913947,913947,1,Łupice,913947,913947,1,Łupice,3839.0,ul.,Długa,1,-1,2,-1,67-410
354183,1809032,1809032,18,PODKARPACKIE,9,lubaczowski,3,2,Horyniec-Zdrój,3,2,Horyniec-Zdrój,602816,602816,1,Horyniec-Zdrój,602816,602816,1,Horyniec-Zdrój,10009.0,ul.,Krótka,1,-1,2,-1,37-620
386317,2061011,2061011,20,PODLASKIE,61,Białystok,1,1,Białystok,1,1,Białystok,922410,922410,96,Białystok,922410,922410,96,Białystok,21625.0,ul.,Swobodna,1,-1,2,-1,15-756
152794,804032,804032,8,LUBUSKIE,4,nowosolski,3,2,Kolsko,3,2,Kolsko,910110,910110,1,Jesiona,910110,910110,1,Jesiona,38903.0,os.,Junior,1,-1,2,-1,67-415
161279,2601052,2601052,26,ŚWIĘTOKRZYSKIE,1,buski,5,2,Solec-Zdrój,5,2,Solec-Zdrój,271035,271035,1,Solec-Zdrój,271035,271035,1,Solec-Zdrój,7208.0,ul.,Janów,1,-1,2,-1,28-131
389472,2007015,2007015,20,PODLASKIE,7,łomżyński,1,5,Jedwabne,1,5,Jedwabne,398497,398497,1,Kotowo Stare,398497,398497,1,Kotowo Stare,,,,1,-1,2,-1,18-420
304585,3018042,3018042,30,WIELKOPOLSKIE,18,ostrzeszowski,4,2,Kobyla Góra,4,2,Kobyla Góra,200035,200035,1,Kobyla Góra,200035,200035,1,Kobyla Góra,15140.0,ul.,Władysława Orkana,1,-1,2,-1,63-507
342232,415042,415042,4,KUJAWSKO-POMORSKIE,15,toruński,4,2,Lubicz,4,2,Lubicz,846257,846257,1,Grabowiec,846257,846257,1,Grabowiec,25748.0,ul.,Zaułek,1,-1,2,-1,87-162
53657,1215032,1215032,12,MAŁOPOLSKIE,15,suski,3,2,Budzów,3,2,Budzów,50446,50179,0,Susówka,50446,50179,0,Susówka,,,,1,-1,2,-1,34-211
83063,1418015,1418015,14,MAZOWIECKIE,18,piaseczyński,1,5,Góra Kalwaria,1,5,Góra Kalwaria,2068,2068,1,Tomice,2068,2068,1,Tomice,17577.0,ul.,Bolesława Prusa,1,-1,2,-1,05-532
208978,223022,223022,2,DOLNOŚLĄSKIE,23,wrocławski,2,2,Długołęka,2,2,Długołęka,873751,873751,1,Domaszczyn,873751,873751,1,Domaszczyn,14834.0,ul.,Ogrodowa,1,-1,2,-1,55-095
